itstId,itstNm,mapCtptIntLat,mapCtptIntLot
1385,화랑대역,376204416,1270844659
139,영등포구청앞,375259881,1268966682
1392,806전투경찰대,376192813,1269055659
1395,은혜산부인과,376078640,1269247807
1396,양광교회,376084925,1269286966
1400,중화역,376015902,1270794582
1409,능동로분수광장,375431087,1270721262
141,남정초교,375367558,1269640169
1411,발산역,375585656,1268382311
1412,궁동터널입구,375070753,1268382113
1414,동대문소방서,375638221,1270661796
1417,신정배수펌프장,375255313,1268778681
1419,온수역입구,374902191,1268258778
142,한진해운빌딩앞,375240898,1269255236
1420,삼성교,374708937,1269414370
1424,교보타워사거리,375045212,1270244863
1426,산골고개,375976128,1269386090
1429,정은스카이빌,375223505,1268502162
143,공항천주교회,375550885,1268123755
1437,KBS스포츠월드,375568376,1268497898
1445,동문빌딩,375212623,1268687223
1446,AT센터,374686115,1270398477
1449,월드빌아파트,375867060,1269123647
1452,난향초교입구,374629883,1269189999
1453,보성운수종점,374641841,1269191902
146,탑성마을,374587999,1270560009
1460,개나리아파트정문,374993609,1270471824
1462,코오롱글로벌빌딩앞,375581730,1270770269
1463,종로노인복지관앞,375756133,1270050093
1466,탄천교,374942083,1271037845
1467,가리봉사거리,374817961,1268866962
147,창4동주민센터,376523990,1270511283
1473,흰돌교회,375884215,1270799976
1474,봉화환승주차장,376163978,1270934141
1476,중랑소방서,376156533,1270950985
1479,정릉천주교회,376078185,1270040433
148,국회의사당,375288059,1269165964
1480,양천향교역,375684552,1268413132
1481,공진중학교,375644029,1268488601
1483,개봉1동사거리,375015980,1268465594
1486,등촌역,375514435,1268640003
149,국회도서관,375303325,1269190971
1491,종암사거리,376034197,1270321738
1496,사러가시장앞,375058486,1269110174
1498,은천삼거리,374856388,1269561764
1499,삼성129동앞,375067948,1270957856
150,서울디자인지원센터,375729392,1270075758
1500,잠실119안전센터,375070194,1270941344
1506,종묘입구,375726051,1269915319
151,이화사거리,375761684,1270022106
1510,심미아파트,375250441,1268562118
1517,상일동역사거리,375571909,1271713299
1524,가리봉치안센터,374787286,1268936444
1525,목동13.14단지,375140373,1268697183
1526,강서면허시험장,375485973,1268199932
1527,용마초교,375561132,1270819710
1529,서남충전소,375727576,1268288415
1531,서빙고역,375202893,1269906666
1536,부암동주민센터,375928510,1269640581
1537,정동,375683276,1269691612
154,꿈의숲동문주차장입구,376211894,1270456578
1541,길동시장,375346296,1271363714
1544,가마산지하차도,374920032,1268821241
1546,등서초교입구,375526799,1268532880
155,송정동공영주차장,375501570,1270685383
1552,이수역,374853994,1269821635
1554,대조초교,376132538,1269176130
1558,국민망우삼거리,375991975,1270973412
1559,망우지구대,375986384,1270950574
156,혜화동로터리,375855368,1270011974
1560,면목아이파크102동,375813116,1270813421
1562,구로삼각공원,375015829,1268915010
1567,응암1동경향렉스빌,376010644,1269251255
157,세운상가,375705684,1269950438
1571,관악현대아파트,374908408,1269564421
1574,동대문역,375720141,1270122574
1575,능산사거리,376083890,1271009941
158,청계6가,375699421,1270096899
1590,동양종합금융증권,374939478,1271215000
1596,월계건강관리센터,376314925,1270610488
1598,은행사거리,376506655,1270767348
160,삼성힐스테이트2단지앞,375124330,1270511972
1602,대일고교,375393159,1268637239
1603,거리공원,375008895,1268901853
1607,당곡사거리,374893893,1269279060
1608,신성교,374709465,1269377066
1609,구로한일카센터,374804830,1268912405
161,세곡동주민센터앞,374692409,1271079628
1611,탑골공원,375716041,1269876359
1612,군악대,375018685,1269797866
1615,테라팰리스건대4차,375449741,1270730011
1616,난곡119안전센터,374758076,1269163204
1619,서울역사박물관,375698431,1269713258
1620,국일관,375703027,1269897302
1623,센스빌오피스텔,375494806,1270561047
1625,이수교차로,374997565,1269850200
1627,영림중,374969637,1268921010
1637,일영유리,376086715,1269995954
1648,한전성서지점,376057415,1269341247
1649,대성주유소,376038580,1269349109
165,신목동역,375441406,1268831132
1650,가양주유소앞,375661718,1268455307
1654,동부제일병원,376004723,1271082698
1656,수락산역남측,376760556,1270552833
1657,응봉교,375473648,1270365249
1658,상원삼거리,375508627,1270521265
1659,당산중,375320085,1269057568
166,농협태릉지점,376182600,1270773038
1661,노일초교,376739710,1270554039
1662,가좌역,375691157,1269152728
167,압구정현대아파트77동앞,375302933,1270277142
1670,화양사거리,375483276,1270674707
1671,화양시장,375480190,1270704906
1672,어린이대공원역,375472691,1270741779
1673,건대입구삼거리,375463846,1270762885
1674,구의시장,375446658,1270906412
1675,구의수원지,375438644,1270929565
1676,광장자이아파트,375426764,1270942985
1677,해동카도크,375436728,1270590234
1678,건대입구역,375399365,1270705980
1679,건대후문,375387924,1270743779
1680,자양삼거리,375380546,1270770990
1681,자양초교,375376590,1270789587
1682,자양사거리,375365645,1270835634
1685,광장현대8단지,375420210,1270985017
1691,잠실대교북단사거리,375324684,1270853888
1692,치과의사회관앞,375487476,1270583016
1694,성수1차대우아파트,375455673,1270659301
1695,세종대,375490112,1270752935
1697,광진구청,375383368,1270833564
1698,자양아파트,375334610,1270847768
170,공무원아파트,375575715,1271567067
1704,배명사거리,375024655,1270969526
1709,상계교,376617107,1270524475
1713,강일동입구,375622027,1271704096
1714,몽촌토성역,375174913,1271127403
1716,성수사거리,375421368,1270639789
172,태릉입구역,376176423,1270756441
1722,성수2가,375403070,1270629367
173,영동전화국,375050323,1270416266
1730,삼성관음아파트,375526424,1268700037
1734,대원주유소,374864473,1268564398
1736,수락초교,376836818,1270554300
1737,용산역앞,375264431,1269652719
1738,홍파복지원,376806881,1270554436
1741,온수골사거리,376612274,1270587312
1742,도봉면허시험장,376579539,1270595619
1743,상계2.6단지,376514390,1270613584
1744,중계근린공원,376411226,1270659296
1745,노원구민의정당,376387392,1270669985
1746,하계역,376359610,1270682131
1747,농협공릉지점,376222447,1270741230
1748,화랑삼거리,376238000,1270907754
1749,태릉사격장,376279059,1270961903
175,역삼금호어울림,374926506,1270340999
1750,태릉골프장,376301302,1270980719
1751,태릉선수촌,376335966,1271033313
1754,삼육대,376379898,1271076806
176,우리은행역삼,374935164,1270403703
1760,이화아파트,374905816,1268929092
1778,당현2교,376507926,1270684718
179,길동생태공원,375402838,1271532805
1792,방학역앞,376697209,1270436376
